,item_category_name,item_category_id,item_name,item_id,date,date_block_num,shop_id,item_price,item_cnt_day
86421,Игровые консоли - PS4,12,Sony PlayStation 4 (1Tb) Black (CUH-1208B),6674,25.08.2015,31,46,29990.0,1.0
86422,Игровые консоли - PS4,12,Sony PlayStation 4 (1Tb) Black (CUH-1208B),6674,31.08.2015,31,46,29990.0,1.0
86423,Игровые консоли - PS4,12,Sony PlayStation 4 (1Tb) Black (CUH-1208B),6674,28.08.2015,31,47,29990.0,2.0
86424,Игровые консоли - PS4,12,Sony PlayStation 4 (1Tb) Black (CUH-1208B),6674,29.08.2015,31,47,29990.0,1.0
86425,Игровые консоли - PS4,12,Sony PlayStation 4 (1Tb) Black (CUH-1208B),6674,27.08.2015,31,42,29990.0,1.0
86426,Игровые консоли - PS4,12,Sony PlayStation 4 (1Tb) Black (CUH-1208B),6674,29.08.2015,31,42,29990.0,1.0
86427,Игровые консоли - PS4,12,Sony PlayStation 4 (1Tb) Black (CUH-1208B),6674,27.08.2015,31,35,29989.5,1.0
86428,Игровые консоли - PS4,12,Sony PlayStation 4 (1Tb) Black (CUH-1208B),6674,29.08.2015,31,35,29990.0,1.0
86429,Игровые консоли - PS4,12,Sony PlayStation 4 (1Tb) Black (CUH-1208B),6674,27.08.2015,31,34,29990.0,1.0
86430,Игровые консоли - PS4,12,Sony PlayStation 4 (1Tb) Black (CUH-1208B),6674,29.08.2015,31,34,29990.0,1.0
86431,Игровые консоли - PS4,12,Sony PlayStation 4 (1Tb) Black (CUH-1208B),6674,26.08.2015,31,39,29990.0,1.0
86432,Игровые консоли - PS4,12,Sony PlayStation 4 (1Tb) Black (CUH-1208B),6674,24.08.2015,31,41,29990.0,1.0
86433,Игровые консоли - PS4,12,Sony PlayStation 4 (1Tb) Black (CUH-1208B),6674,27.08.2015,31,37,29990.0,1.0
86434,Игровые консоли - PS4,12,Sony PlayStation 4 (1Tb) Black (CUH-1208B),6674,28.08.2015,31,37,29990.0,1.0
86435,Игровые консоли - PS4,12,Sony PlayStation 4 (1Tb) Black (CUH-1208B),6674,28.08.2015,31,38,29990.0,1.0
86436,Игровые консоли - PS4,12,Sony PlayStation 4 (1Tb) Black (CUH-1208B),6674,30.08.2015,31,38,29990.0,1.0
86437,Игровые консоли - PS4,12,Sony PlayStation 4 (1Tb) Black (CUH-1208B),6674,30.08.2015,31,57,29990.0,1.0
86438,Игровые консоли - PS4,12,Sony PlayStation 4 (1Tb) Black (CUH-1208B),6674,28.08.2015,31,58,29990.0,1.0
